Alpha,Beta,n,Num Iterations,Avg Value
0,0.1,1000,250,0.91012
0,0.2,1000,250,0.840664
0,0.30000000000000004,1000,250,0.7919400000000001
0,0.4,1000,250,0.76244
0,0.5,1000,250,0.7517119999999999
0,0.6,1000,250,0.762288
0,0.7,1000,250,0.791432
0,0.7999999999999999,1000,250,0.840528
0,0.8999999999999999,1000,250,0.909852
0,0.9999999999999999,1000,250,0.999004
0.1,0.2,1000,250,0.899384
0.1,0.30000000000000004,1000,250,0.814
0.1,0.4,1000,250,0.76402
0.1,0.5,1000,250,0.7385879999999999
0.1,0.6,1000,250,0.7330599999999999
0.1,0.7,1000,250,0.748356
0.1,0.7999999999999999,1000,250,0.78026
0.1,0.8999999999999999,1000,250,0.834448
0.1,0.9999999999999999,1000,250,0.910764
0.2,0.30000000000000004,1000,250,0.899088
0.2,0.4,1000,250,0.806624
0.2,0.5,1000,250,0.753112
0.2,0.6,1000,250,0.729472
0.2,0.7,1000,250,0.726916
0.2,0.7999999999999999,1000,250,0.743128
0.2,0.8999999999999999,1000,250,0.78038
0.2,0.9999999999999999,1000,250,0.840908
0.3,0.4,1000,250,0.899044
0.3,0.5,1000,250,0.8050879999999999
0.3,0.6,1000,250,0.747196
0.3,0.7,1000,250,0.7261599999999999
0.3,0.7999999999999999,1000,250,0.7266480000000001
0.3,0.8999999999999999,1000,250,0.746876
0.3,0.9999999999999999,1000,250,0.79108
0.4,0.5,1000,250,0.899048
0.4,0.6,1000,250,0.80448
0.4,0.7,1000,250,0.747632
0.4,0.7999999999999999,1000,250,0.730128
0.4,0.8999999999999999,1000,250,0.7327
0.4,0.9999999999999999,1000,250,0.762312
0.5,0.6,1000,250,0.899032
0.5,0.7,1000,250,0.804764
0.5,0.7999999999999999,1000,250,0.7529239999999999
0.5,0.8999999999999999,1000,250,0.7400800000000001
0.5,0.9999999999999999,1000,250,0.7512960000000001
0.6,0.7,1000,250,0.899048
0.6,0.7999999999999999,1000,250,0.807724
0.6,0.8999999999999999,1000,250,0.764572
0.6,0.9999999999999999,1000,250,0.7616040000000001
0.7,0.7999999999999999,1000,250,0.9001119999999999
0.7,0.8999999999999999,1000,250,0.813864
0.7,0.9999999999999999,1000,250,0.79022
0.8,0.9,1000,250,0.8992720000000001
0.25,0.65,1000,250,0.72724
0.25,0.66,1000,250,0.7270399999999999
0.25,0.67,1000,250,0.725268
0.25,0.68,1000,250,0.725352
0.25,0.69,1000,250,0.724032
0.25,0.7,1000,250,0.724856
0.25,0.71,1000,250,0.724468
0.25,0.72,1000,250,0.7240639999999999
0.25,0.73,1000,250,0.72468
0.25,0.74,1000,250,0.725724
0.25,0.75,1000,250,0.726016
0.26,0.65,1000,250,0.728972
0.26,0.66,1000,250,0.7268519999999999
0.26,0.67,1000,250,0.7266079999999999
0.26,0.68,1000,250,0.7255280000000001
0.26,0.69,1000,250,0.725784
0.26,0.7,1000,250,0.7248640000000001
0.26,0.71,1000,250,0.724684
0.26,0.72,1000,250,0.7237359999999999
0.26,0.73,1000,250,0.7243120000000001
0.26,0.74,1000,250,0.7250359999999999
0.26,0.75,1000,250,0.7242240000000001
0.27,0.65,1000,250,0.729548
0.27,0.66,1000,250,0.727924
0.27,0.67,1000,250,0.727548
0.27,0.68,1000,250,0.726288
0.27,0.69,1000,250,0.7259
0.27,0.7,1000,250,0.724552
0.27,0.71,1000,250,0.724168
0.27,0.72,1000,250,0.724268
0.27,0.73,1000,250,0.723448
0.27,0.74,1000,250,0.72504
0.27,0.75,1000,250,0.7248880000000001
0.28,0.65,1000,250,0.7308279999999999
0.28,0.66,1000,250,0.729576
0.28,0.67,1000,250,0.727904
0.28,0.68,1000,250,0.7267279999999999
0.28,0.69,1000,250,0.726324
0.28,0.7,1000,250,0.7253440000000001
0.28,0.71,1000,250,0.724916
0.28,0.72,1000,250,0.724568
0.28,0.73,1000,250,0.724484
0.28,0.74,1000,250,0.72372
0.28,0.75,1000,250,0.723448
0.29,0.65,1000,250,0.731896
0.29,0.66,1000,250,0.730368
0.29,0.67,1000,250,0.729292
0.29,0.68,1000,250,0.727796
0.29,0.69,1000,250,0.72674
0.29,0.7,1000,250,0.7258880000000001
0.29,0.71,1000,250,0.725836
0.29,0.72,1000,250,0.7244919999999999
0.29,0.73,1000,250,0.725692
0.29,0.74,1000,250,0.723256
0.29,0.75,1000,250,0.724132
0.3,0.65,1000,250,0.734188
0.3,0.66,1000,250,0.7325320000000001
0.3,0.67,1000,250,0.730972
0.3,0.68,1000,250,0.729008
0.3,0.69,1000,250,0.7276480000000001
0.3,0.7,1000,250,0.726816
0.3,0.71,1000,250,0.7259
0.3,0.72,1000,250,0.726208
0.3,0.73,1000,250,0.72412
0.3,0.74,1000,250,0.7241799999999999
0.3,0.75,1000,250,0.724916
0.31,0.65,1000,250,0.7360399999999999
0.31,0.66,1000,250,0.733904
0.31,0.67,1000,250,0.7318279999999999
0.31,0.68,1000,250,0.73046
0.31,0.69,1000,250,0.7288239999999999
0.31,0.7,1000,250,0.727896
0.31,0.71,1000,250,0.7266
0.31,0.72,1000,250,0.72614
0.31,0.73,1000,250,0.726356
0.31,0.74,1000,250,0.7254400000000001
0.31,0.75,1000,250,0.724384
0.32,0.65,1000,250,0.738888
0.32,0.66,1000,250,0.736524
0.32,0.67,1000,250,0.734576
0.32,0.68,1000,250,0.7327279999999999
0.32,0.69,1000,250,0.730504
0.32,0.7,1000,250,0.7295839999999999
0.32,0.71,1000,250,0.7271839999999999
0.32,0.72,1000,250,0.726432
0.32,0.73,1000,250,0.726596
0.32,0.74,1000,250,0.725296
0.32,0.75,1000,250,0.725564
0.33,0.65,1000,250,0.741056
0.33,0.66,1000,250,0.738548
0.33,0.67,1000,250,0.73682
0.33,0.68,1000,250,0.73438
0.33,0.69,1000,250,0.732804
0.33,0.7,1000,250,0.7307039999999999
0.33,0.71,1000,250,0.729684
0.33,0.72,1000,250,0.72846
0.33,0.73,1000,250,0.727332
0.33,0.74,1000,250,0.7265839999999999
0.33,0.75,1000,250,0.725928
0.34,0.65,1000,250,0.743768
0.34,0.66,1000,250,0.7409439999999999
0.34,0.67,1000,250,0.73866
0.34,0.68,1000,250,0.735516
0.34,0.69,1000,250,0.733972
0.34,0.7,1000,250,0.7329439999999999
0.34,0.71,1000,250,0.730972
0.34,0.72,1000,250,0.72896
0.34,0.73,1000,250,0.727304
0.34,0.74,1000,250,0.728112
0.34,0.75,1000,250,0.7261799999999999
0.35,0.65,1000,250,0.747236
0.35,0.66,1000,250,0.743404
0.35,0.67,1000,250,0.7414959999999999
0.35,0.68,1000,250,0.739184
0.35,0.69,1000,250,0.736332
0.35,0.7,1000,250,0.734636
0.35,0.71,1000,250,0.7329439999999999
0.35,0.72,1000,250,0.7315839999999999
0.35,0.73,1000,250,0.7302240000000001
0.35,0.74,1000,250,0.729724
0.35,0.75,1000,250,0.727484
